fold;model;bias;Width;Height;Density;Growth-ring width;Test span;Dynamic E;dataset
19;physics;90,64040816326529;-61,25016574960147;31,887814972471226;5,401730030641947;-3,300612205957685;26,962594568463704;2,7690630628514676;original
20;physics;90,65071428571427;-61,1138567195592;31,778632413273673;5,254809222437658;-3,33412140941048;26,875482546509666;2,916122067225624;original
21;physics;90,68489795918366;-61,261286758497334;32,06318483002216;5,341751101593519;-3,339791676252976;26,743899229222436;2,834934449223524;original
22;physics;90,74204081632652;-60,92236837779352;31,64013427526337;5,271613603829324;-3,315716543742261;26,889232448560836;2,922743700916292;original
23;physics;90,72132653061223;-60,91054262527788;31,669622236788147;5,277311995300706;-3,2847151676990785;26,83669551548055;2,9125131505096973;original
24;physics;90,73367346938774;-61,32359679198922;32,411303022354495;5,206762071741923;-3,3285336832072883;26,60188711673442;3,057456492147334;original
25;physics;90,82224489795918;-60,260887981933;30,515095441822247;5,4708986716187775;-3,5300415763186317;27,1547734206469;2,5237772706781296;original
26;physics;90,56336734693876;-60,98876995018143;31,721410218247392;5,26871948917002;-3,295115820300991;26,831592970000532;2,8264625570489077;original
27;physics;90,66704081632652;-60,913324682300775;32,02438819691788;5,355817667165527;-3,330893402810821;26,494614178234343;2,8183410153384414;original
28;physics;90,6108163265306;-61,29861312867765;32,08396573587833;5,278425420919935;-3,3153372866109363;26,776127440310944;2,880169341892638;original
29;physics;90,56469387755101;-62,09561294590698;32,974999667745465;5,236318428111623;-3,3142161945736768;26,896970034646078;3,0557260629858463;original
30;physics;90,70448979591835;-61,14033390060874;31,767908021239336;5,290088133408339;-3,305483127347022;27,02798134132157;2,947139211663645;original
31;physics;90,62724489795917;-61,097774359040876;31,844567053177823;5,274255761104241;-3,3146388550037473;26,813510621369474;2,8884628352549946;original
32;physics;90,8138775510204;-60,78892589012705;31,549767287919845;5,2278414854310515;-3,319776527999727;26,80076247240744;2,900915162004422;original
33;physics;90,80295918367344;-61,70710297402555;32,64138223609969;5,167012779118429;-3,3044114297780562;26,679383960188304;2,996543678146621;original
34;physics;90,53959183673467;-59,83737473136622;31,06307800796287;5,084276613545944;-3,2903421618705124;26,412270480081887;2,978283464756179;original
35;physics;90,47193877551018;-60,67650470216358;31,323620618353207;5,047717764573902;-3,2516762407569626;26,910913526525405;2,8033243914168278;original
36;physics;90,9658163265306;-64,0824633583941;34,96733684507323;6,004406395645371;-2,3405284714970267;26,58892279211708;2,566337383601538;original
37;physics;90,51826530612242;-60,86535791925325;31,64683921964815;5,3017333279424665;-3,369166564810329;26,809154294384655;2,6326270432428283;original
38;physics;90,55367346938773;-60,7346260128119;31,96871256350681;4,825597850224359;-3,2504722691293533;26,47176998669757;3,2839872838303052;original
39;physics;90,99214285714284;-58,64729086002463;29,381218633992667;5,6159515205549475;-2,7017838554537064;26,728023935750358;2,7089105263722555;original
40;physics;90,83255102040815;-60,874889158770856;31,568722746496604;5,123857480867906;-3,332893067914451;26,954425605381825;3,0350291743804303;original
41;physics;90,61540816326529;-60,575891994233444;30,75927643825045;5,322705099599065;-3,26665203590231;27,305907310790072;2,9023515045097574;original
42;physics;90,5312244897959;-60,56641297513486;30,786626577726825;5,158936485476513;-3,2326594987433706;27,310852441398207;2,8985452124644104;original
