fold;original_index;current_position;true_value;predicted_value;physics_prediction;error;absolute_error;squared_error;rmse;physics_residual;physics_residual_squared;learned_ultimate_force;final_total_loss;final_data_loss;final_physics_loss;Width;Height;Density;Growth-ring width;Test span;Dynamic E
52;54;51;100,17;99,222301569855;8,373210606691906;0,947698430144996;0,947698430144996;0,8981323144992899;0,947698430144996;90,84909096316309;8253,557328833082;199,36215730218822;50,40772254670978;34,77292625676969;3908,699072485021;50,0;20,0;517,97;0,95;560,0;14134,0
40;42;39;70,27;71,09426151420493;67,61479243392527;-0,8242615142049345;0,8242615142049345;0,6794070437994115;0,8242615142049345;3,4794690802796566;12,10670508062216;148,17347336853337;58,831886773349524;34,7651959552003;6016,672704537306;14,89;6,09;417,9;3,04;168,0;6991,54
56;58;55;109,62;108,79933086487375;2,4599260290617404;0,8206691351262521;0,8206691351262521;0,6734978293488706;0,8206691351262521;106,33940483581202;11308,06902083472;58,56966735861286;62,64452271299491;34,77855792654906;6966,491196611463;50,0;20,0;572,88;0,88;560,0;15530,0
93;97;92;99,94;100,68143101583404;2,492632320908358;-0,7414310158340385;0,7414310158340385;0,5497199512406942;0,7414310158340385;98,18879869492568;9641,040189152638;243,42625693199884;50,41473745886047;34,74935714440686;3916,3450786134026;100,82;40,34;538,61;1,32;1120,0;15539,0
9;9;8;94,63;95,35958437688565;63,67082690900114;-0,7295843768856543;0,7295843768856543;0,5322933629956283;0,7295843768856543;31,688757467884507;1004,1773498584062;139,27580283955126;59,038502585360256;34,7613755096999;6069,281768915088;15,06;6,05;496,9;1,7;168,0;15875,67
88;91;87;88,29;87,58238042591864;1,117126926503304;0,7076195740813631;0,7076195740813631;0,5007254616230897;0,7076195740813631;86,46525349941534;7476,240062718157;107,48706633319189;51,12435485669849;34,7667860256996;4089,3922077497205;101,18;39,97;493,74;1,22;1120,0;13257,0
74;76;73;91,21;91,6243976419678;1,078346292050186;-0,4143976419678097;0,4143976419678097;0,171725405668481;0,4143976419678097;90,54605134991762;8198,587415061918;103,75034038634503;60,45335163597811;34,75264416342125;6425,176868139214;100,57;40,09;497,6;1,76;1120,0;14951,0
54;56;53;95,38;95,72693883532553;11,040206679895267;-0,34693883532553116;0,34693883532553116;0,12036655545703602;0,34693883532553116;84,68673215543026;7171,842603165586;262,86206380703015;54,61214021367698;34,76981369295088;4960,581630181523;50,0;20,0;513,31;1,64;560,0;13995,0
60;62;59;82,61;82,45274488666702;6,007960547542481;0,1572551133329796;0,1572551133329796;0,024729170669368257;0,1572551133329796;76,44478433912454;5843,805052655261;143,0466797033924;58,88581094205834;34,774264812641164;6027,886532354294;50,0;20,0;439,93;1,8;560,0;12009,0
6;6;5;76,05;76,06964985173501;65,96301334235751;-0,01964985173501077;0,01964985173501077;0,0003861166732079058;0,01964985173501077;10,106636509377495;102,14410153268211;145,72351489717974;58,91769074544683;34,79348528819171;6031,05136431378;15,62;5,97;429,36;1,94;168,0;10444,71
