fold;original_index;current_position;true_value;predicted_value;physics_prediction;error;absolute_error;squared_error;rmse;physics_residual;physics_residual_squared;learned_ultimate_force;final_total_loss;final_data_loss;final_physics_loss;Width;Height;Density;Growth-ring width;Test span;Dynamic E
72;71;71;102,77;96,49092161657137;1,880771538058065;6,279078383428626;6,279078383428626;39,426825345240644;6,279078383428626;94,6101500785133;8951,080497878811;44,78027471566821;75,88713973115786;47,46759176599304;7104,886991291203;50,0;20,0;515,31;1,38;560,0;14040,0
45;44;44;100,14;94,09882145680477;40,68015512716223;6,04117854319523;6,04117854319523;36,495838190762434;6,04117854319523;53,41866632964254;2853,5539124376855;90,99581179774411;73,19921463586469;47,3491474966876;6462,516784794273;15,05;6,12;538,15;2,81;168,0;15429,13
13;12;12;102,22;96,22980085483891;21,28248735674772;5,990199145161085;5,990199145161085;35,8824857986886;5,990199145161085;74,94731349809119;5617,099800581162;46,43110001849877;75,75864115568825;47,37063579372565;7097,001340490649;15,07;6,04;506,04;1,79;168,0;16273,65
42;41;41;110,89;116,37020603442716;145,1508093096133;-5,480206034427155;5,480206034427155;30,032658179771808;5,480206034427155;-28,780603275186138;828,323124883655;250,0084007975718;67,2688984268996;47,389979303120136;4969,729780944865;14,83;5,41;626,08;1,64;168,0;21553,35
8;7;7;97,37;92,00607066545687;90,63028841805614;5,36392933454313;5,36392933454313;28,771737905972305;5,36392933454313;1,3757822474007355;1,8927767922630185;197,32640486512017;63,09382553718895;47,44719578995756;3911,6574368078477;14,99;6,05;478,25;1,88;168,0;15358,52
53;52;52;77,28;82,45639900594671;11,047089910407982;-5,176399005946706;5,176399005946706;26,79510666876605;5,176399005946706;71,40930909553873;5099,28942550219;263,0259502478091;63,11183400027833;47,43045480941012;3920,3447977170517;50,0;20,0;431,0;1,75;560,0;11763,0
33;32;32;84,26;79,24200025884048;32,85444543426396;5,017999741159528;5,017999741159528;25,18032140227709;5,017999741159528;46,38755482457652;2151,805242603092;63,16618181879216;75,03332245562352;47,57369385813366;6864,907149372464;14,86;5,71;492,67;3,27;168,0;10087,14
37;36;36;112,16;107,39520811393082;143,8690849165858;4,764791886069176;4,764791886069176;22,703241717550657;4,764791886069176;-36,47387680265497;1330,3436890152525;284,76225608076214;63,81001551068791;47,53817241654949;4067,960773534605;14,93;5,78;564,22;1,61;168,0;19790,13
19;18;18;100,19;95,49398071599674;143,42976211976446;4,696019284003256;4,696019284003256;22,052597115730453;4,696019284003256;-47,93578140376772;2297,839138789803;300,62012894570984;64,94732181113721;47,54037194389033;4351,737466811724;15,02;5,93;490,06;1,46;168,0;16019,43
84;83;83;89,52;94,12537442268585;0,26160267602812565;-4,6053744226858555;4,6053744226858555;21,209473573129078;4,6053744226858555;93,86377174665773;8810,407646508662;24,913752805141687;66,84107545896002;47,446058450741326;4848,754252054672;100,65;39,87;528,88;1,26;1120,0;14224,0
